City_ID,province,province_survey,n,tightness,tightness_se,tightness_sd,z_province,se_z,sd_z
27,Gansu,GANSU,396,4.294612794612795,0.03804971215049301,0.7571797115052732,-0.8941378340487621,0.30203584967133723,6.010437519576084
28,Gansu,GANSU,396,4.294612794612795,0.03804971215049301,0.7571797115052732,-0.8941378340487621,0.30203584967133723,6.010437519576084
29,Gansu,GANSU,396,4.294612794612795,0.03804971215049301,0.7571797115052732,-0.8941378340487621,0.30203584967133723,6.010437519576084
33,Gansu,GANSU,396,4.294612794612795,0.03804971215049301,0.7571797115052732,-0.8941378340487621,0.30203584967133723,6.010437519576084
34,Gansu,GANSU,396,4.294612794612795,0.03804971215049301,0.7571797115052732,-0.8941378340487621,0.30203584967133723,6.010437519576084
36,Gansu,GANSU,396,4.294612794612795,0.03804971215049301,0.7571797115052732,-0.8941378340487621,0.30203584967133723,6.010437519576084
37,Gansu,GANSU,396,4.294612794612795,0.03804971215049301,0.7571797115052732,-0.8941378340487621,0.30203584967133723,6.010437519576084
38,Gansu,GANSU,396,4.294612794612795,0.03804971215049301,0.7571797115052732,-0.8941378340487621,0.30203584967133723,6.010437519576084
39,Gansu,GANSU,396,4.294612794612795,0.03804971215049301,0.7571797115052732,-0.8941378340487621,0.30203584967133723,6.010437519576084
97,Henan,HENAN,379,4.419085312225154,0.034561869362267246,0.6728477884601153,0.09391596433699627,0.2743496071080498,5.341016843524214
99,Henan,HENAN,379,4.419085312225154,0.034561869362267246,0.6728477884601153,0.09391596433699627,0.2743496071080498,5.341016843524214
100,Henan,HENAN,379,4.419085312225154,0.034561869362267246,0.6728477884601153,0.09391596433699627,0.2743496071080498,5.341016843524214
102,Henan,HENAN,379,4.419085312225154,0.034561869362267246,0.6728477884601153,0.09391596433699627,0.2743496071080498,5.341016843524214
106,Henan,HENAN,379,4.419085312225154,0.034561869362267246,0.6728477884601153,0.09391596433699627,0.2743496071080498,5.341016843524214
107,Henan,HENAN,379,4.419085312225154,0.034561869362267246,0.6728477884601153,0.09391596433699627,0.2743496071080498,5.341016843524214
109,Henan,HENAN,379,4.419085312225154,0.034561869362267246,0.6728477884601153,0.09391596433699627,0.2743496071080498,5.341016843524214
112,Henan,HENAN,379,4.419085312225154,0.034561869362267246,0.6728477884601153,0.09391596433699627,0.2743496071080498,5.341016843524214
207,Neimeng,INNERMONGOLIA,388,4.311426116838488,0.03860513914201762,0.7604330516565687,-0.760674904180857,0.30644478876270315,6.036262297250616
208,Neimeng,INNERMONGOLIA,388,4.311426116838488,0.03860513914201762,0.7604330516565687,-0.760674904180857,0.30644478876270315,6.036262297250616
210,Neimeng,INNERMONGOLIA,388,4.311426116838488,0.03860513914201762,0.7604330516565687,-0.760674904180857,0.30644478876270315,6.036262297250616
211,Neimeng,INNERMONGOLIA,388,4.311426116838488,0.03860513914201762,0.7604330516565687,-0.760674904180857,0.30644478876270315,6.036262297250616
214,Neimeng,INNERMONGOLIA,388,4.311426116838488,0.03860513914201762,0.7604330516565687,-0.760674904180857,0.30644478876270315,6.036262297250616
215,Neimeng,INNERMONGOLIA,388,4.311426116838488,0.03860513914201762,0.7604330516565687,-0.760674904180857,0.30644478876270315,6.036262297250616
218,Ningxia,NINGXIA,373,4.262734584450402,0.04083883247654809,0.7887288626592408,-1.1471847494713563,0.32417568411170705,6.260872388505167
219,Ningxia,NINGXIA,373,4.262734584450402,0.04083883247654809,0.7887288626592408,-1.1471847494713563,0.32417568411170705,6.260872388505167
220,Ningxia,NINGXIA,373,4.262734584450402,0.04083883247654809,0.7887288626592408,-1.1471847494713563,0.32417568411170705,6.260872388505167
221,Ningxia,NINGXIA,373,4.262734584450402,0.04083883247654809,0.7887288626592408,-1.1471847494713563,0.32417568411170705,6.260872388505167
222,Ningxia,NINGXIA,373,4.262734584450402,0.04083883247654809,0.7887288626592408,-1.1471847494713563,0.32417568411170705,6.260872388505167
223,Qinghai,QINGHAI,385,4.292640692640693,0.04178610530700302,0.8199025916169914,-0.9097922361747631,0.33169506699390633,6.508327183325636
224,Qinghai,QINGHAI,385,4.292640692640693,0.04178610530700302,0.8199025916169914,-0.9097922361747631,0.33169506699390633,6.508327183325636
225,Qinghai,QINGHAI,385,4.292640692640693,0.04178610530700302,0.8199025916169914,-0.9097922361747631,0.33169506699390633,6.508327183325636
226,Qinghai,QINGHAI,385,4.292640692640693,0.04178610530700302,0.8199025916169914,-0.9097922361747631,0.33169506699390633,6.508327183325636
228,Qinghai,QINGHAI,385,4.292640692640693,0.04178610530700302,0.8199025916169914,-0.9097922361747631,0.33169506699390633,6.508327183325636
229,Qinghai,QINGHAI,385,4.292640692640693,0.04178610530700302,0.8199025916169914,-0.9097922361747631,0.33169506699390633,6.508327183325636
230,Qinghai,QINGHAI,385,4.292640692640693,0.04178610530700302,0.8199025916169914,-0.9097922361747631,0.33169506699390633,6.508327183325636
231,Shandong,SHANDONG,432,4.565586419753086,0.02775924730981381,0.5769651206456063,1.2568311084773856,0.22035088765705055,4.5799071949789605
232,Shandong,SHANDONG,432,4.565586419753086,0.02775924730981381,0.5769651206456063,1.2568311084773856,0.22035088765705055,4.5799071949789605
233,Shandong,SHANDONG,432,4.565586419753086,0.02775924730981381,0.5769651206456063,1.2568311084773856,0.22035088765705055,4.5799071949789605
234,Shandong,SHANDONG,432,4.565586419753086,0.02775924730981381,0.5769651206456063,1.2568311084773856,0.22035088765705055,4.5799071949789605
235,Shandong,SHANDONG,432,4.565586419753086,0.02775924730981381,0.5769651206456063,1.2568311084773856,0.22035088765705055,4.5799071949789605
236,Shandong,SHANDONG,432,4.565586419753086,0.02775924730981381,0.5769651206456063,1.2568311084773856,0.22035088765705055,4.5799071949789605
237,Shandong,SHANDONG,432,4.565586419753086,0.02775924730981381,0.5769651206456063,1.2568311084773856,0.22035088765705055,4.5799071949789605
238,Shandong,SHANDONG,432,4.565586419753086,0.02775924730981381,0.5769651206456063,1.2568311084773856,0.22035088765705055,4.5799071949789605
242,Shandong,SHANDONG,432,4.565586419753086,0.02775924730981381,0.5769651206456063,1.2568311084773856,0.22035088765705055,4.5799071949789605
247,Shandong,SHANDONG,432,4.565586419753086,0.02775924730981381,0.5769651206456063,1.2568311084773856,0.22035088765705055,4.5799071949789605
249,Shanxi,SHANXI,370,4.275675675675676,0.03654902935474755,0.703034616719869,-1.0444593078585398,0.29012353870542457,5.580637692330012
250,Shanxi,SHANXI,370,4.275675675675676,0.03654902935474755,0.703034616719869,-1.0444593078585398,0.29012353870542457,5.580637692330012
251,Shanxi,SHANXI,370,4.275675675675676,0.03654902935474755,0.703034616719869,-1.0444593078585398,0.29012353870542457,5.580637692330012
252,Shanxi,SHANXI,370,4.275675675675676,0.03654902935474755,0.703034616719869,-1.0444593078585398,0.29012353870542457,5.580637692330012
253,Shanxi,SHANXI,370,4.275675675675676,0.03654902935474755,0.703034616719869,-1.0444593078585398,0.29012353870542457,5.580637692330012
255,Shanxi,SHANXI,370,4.275675675675676,0.03654902935474755,0.703034616719869,-1.0444593078585398,0.29012353870542457,5.580637692330012
