City_ID,province,prefecture_cn,match_key,source_prefecture,index_2000,index_2010,index_2020,z_2000,z_2010,z_2020,source_2000,source_2010,source_2020,quality,note
242,Shandong,泰安市,泰安,泰安,-0.061252838,1.376545846,1.794408091,-0.17189157287198703,0.4193687237153986,0.7735234095377822,trimmed,trimmed,trimmed,trimmed,
247,Shandong,淄博市,淄博,淄博,-0.441066354,-0.158201065,0.336142073,-0.34350051870221227,-0.3465817995241101,0.07545226006694883,trimmed,trimmed,trimmed,trimmed,
249,Shanxi,晋城市,晋城,晋城,1.084008609,1.509354552,1.077488051,0.34556528777240453,0.48564994384515986,0.43033417641839955,trimmed,trimmed,trimmed,trimmed,
250,Shanxi,晋中市,晋中,晋中,-1.586592165,-0.823452816,-0.941306848,-0.8610768254048518,-0.6785908904773802,-0.5360618434405676,trimmed,trimmed,trimmed,trimmed,
251,Shanxi,临汾市,临汾,临汾,2.039546753,1.877176181,0.523769177,0.777300564914069,0.6692197345201506,0.16526925267629292,trimmed,trimmed,trimmed,trimmed,
252,Shanxi,吕梁市,吕梁,吕梁,-1.66776705,-1.596219662,-2.169255455,-0.8977536045501725,-1.064257846894434,-1.12388017356612,trimmed,trimmed,trimmed,trimmed,
253,Shanxi,朔州市,朔州,朔州,-1.092614913,-1.423430204,-1.494587912,-0.6378859385385941,-0.9780233187016802,-0.8009171877738577,trimmed,trimmed,trimmed,trimmed,
255,Shanxi,忻州市,忻州,忻州,-1.691228308,-1.341726704,-1.98895235,-0.9083539691597113,-0.9372473196578229,-1.037569175293574,trimmed,trimmed,trimmed,trimmed,
256,Shanxi,阳泉市,阳泉,阳泉,-1.025844476,-0.642487685,-0.517100634,-0.6077174378836742,-0.5882761058154313,-0.3329945595812174,trimmed,trimmed,trimmed,trimmed,
258,Shanxi,长治市,长治,长治,0.785456697,1.429292748,0.168711349,0.21067230283208405,0.44569327071177506,-0.004696736423905313,trimmed,trimmed,trimmed,trimmed,
260,Shaanxi,宝鸡市,宝鸡,宝鸡,1.34625956,1.877271393,1.375417933,0.4640566193028076,0.6692672522448619,0.5729530488479221,trimmed,trimmed,trimmed,trimmed,
262,Shaanxi,商洛市,商洛,商洛,-0.055589897,1.338158647,-0.066361197,-0.16933291896850466,0.40021071469839975,-0.11722583630673297,trimmed,trimmed,trimmed,trimmed,
263,Shaanxi,铜川市,铜川,铜川,-0.508344506,-0.434993842,0.188891296,-0.37389841729128115,-0.4847215611046869,0.004963393226424699,trimmed,trimmed,trimmed,trimmed,
264,Shaanxi,渭南市,渭南,渭南,2.932502464,2.734130433,2.126065451,1.1807595830438748,1.0969023400411084,0.9322876073370222,trimmed,trimmed,trimmed,trimmed,
265,Shaanxi,西安市,西安,西安,0.565172903,-0.034642492,-0.723377485,0.1111427493029187,-0.2849170696837925,-0.4317391759333717,trimmed,trimmed,trimmed,trimmed,
266,Shaanxi,咸阳市,咸阳,咸阳,1.804123845,2.233812257,1.56162249,0.6709307930016704,0.8472071193198355,0.6620890689822795,trimmed,trimmed,trimmed,trimmed,
