MinTemp,MaxTemp,Precipitation,ReferenceET,Date,City_ID,Province,Latitude,Longitude
-9.72,-8.07,0.12,0.05,1980-01-01,36,Gansu,35.30554302345981,106.64606588632147
-11.53,-4.31,0.06,0.27,1980-01-02,36,Gansu,35.30554302345981,106.64606588632147
-10.05,-5.14,0.12,0.23,1980-01-03,36,Gansu,35.30554302345981,106.64606588632147
-11.64,-5.69,0.0,0.34,1980-01-04,36,Gansu,35.30554302345981,106.64606588632147
-12.79,-4.67,0.0,0.48,1980-01-05,36,Gansu,35.30554302345981,106.64606588632147
-9.82,-4.38,0.0,0.51,1980-01-06,36,Gansu,35.30554302345981,106.64606588632147
-17.09,-2.81,0.0,0.26,1980-01-07,36,Gansu,35.30554302345981,106.64606588632147
-10.76,2.49,0.0,0.75,1980-01-08,36,Gansu,35.30554302345981,106.64606588632147
-9.99,0.88,0.0,0.51,1980-01-09,36,Gansu,35.30554302345981,106.64606588632147
-9.24,-5.33,0.0,0.49,1980-01-10,36,Gansu,35.30554302345981,106.64606588632147
-10.13,-8.12,0.0,0.49,1980-01-11,36,Gansu,35.30554302345981,106.64606588632147
-10.56,-1.98,0.0,0.61,1980-01-12,36,Gansu,35.30554302345981,106.64606588632147
-12.24,-1.08,0.0,0.69,1980-01-13,36,Gansu,35.30554302345981,106.64606588632147
-13.28,-0.42,0.0,0.57,1980-01-14,36,Gansu,35.30554302345981,106.64606588632147
-13.26,-0.29,0.0,0.55,1980-01-15,36,Gansu,35.30554302345981,106.64606588632147
-10.7,0.18,0.0,0.41,1980-01-16,36,Gansu,35.30554302345981,106.64606588632147
-14.59,-1.59,0.0,0.77,1980-01-17,36,Gansu,35.30554302345981,106.64606588632147
-9.29,0.12,0.0,0.89,1980-01-18,36,Gansu,35.30554302345981,106.64606588632147
-12.61,-1.88,0.0,0.55,1980-01-19,36,Gansu,35.30554302345981,106.64606588632147
-11.26,0.9,0.0,0.6,1980-01-20,36,Gansu,35.30554302345981,106.64606588632147
-11.59,0.05,0.0,0.79,1980-01-21,36,Gansu,35.30554302345981,106.64606588632147
-13.71,-0.07,0.0,0.64,1980-01-22,36,Gansu,35.30554302345981,106.64606588632147
-7.51,0.96,0.0,0.61,1980-01-23,36,Gansu,35.30554302345981,106.64606588632147
-7.18,0.38,0.0,0.53,1980-01-24,36,Gansu,35.30554302345981,106.64606588632147
-12.76,3.74,0.0,0.76,1980-01-25,36,Gansu,35.30554302345981,106.64606588632147
-7.96,0.38,0.0,0.66,1980-01-26,36,Gansu,35.30554302345981,106.64606588632147
-3.67,-0.38,0.0,0.54,1980-01-27,36,Gansu,35.30554302345981,106.64606588632147
-9.32,-4.94,0.42,0.38,1980-01-28,36,Gansu,35.30554302345981,106.64606588632147
-15.26,-8.43,0.12,0.52,1980-01-29,36,Gansu,35.30554302345981,106.64606588632147
-18.7,-13.47,0.0,0.44,1980-01-30,36,Gansu,35.30554302345981,106.64606588632147
-15.6,-10.37,0.0,0.52,1980-01-31,36,Gansu,35.30554302345981,106.64606588632147
-14.52,-8.89,0.0,0.42,1980-02-01,36,Gansu,35.30554302345981,106.64606588632147
-13.58,-4.69,0.0,0.55,1980-02-02,36,Gansu,35.30554302345981,106.64606588632147
-13.59,-8.52,0.0,0.46,1980-02-03,36,Gansu,35.30554302345981,106.64606588632147
-18.37,-11.97,0.0,0.38,1980-02-04,36,Gansu,35.30554302345981,106.64606588632147
-19.63,-9.83,0.0,0.72,1980-02-05,36,Gansu,35.30554302345981,106.64606588632147
-12.11,-8.98,0.0,0.65,1980-02-06,36,Gansu,35.30554302345981,106.64606588632147
-13.36,-5.68,0.0,0.8,1980-02-07,36,Gansu,35.30554302345981,106.64606588632147
-13.9,-6.33,0.0,0.52,1980-02-08,36,Gansu,35.30554302345981,106.64606588632147
-14.2,-6.66,0.0,0.47,1980-02-09,36,Gansu,35.30554302345981,106.64606588632147
-13.0,-1.04,0.0,0.56,1980-02-10,36,Gansu,35.30554302345981,106.64606588632147
-10.76,-0.91,0.0,0.82,1980-02-11,36,Gansu,35.30554302345981,106.64606588632147
-14.21,1.64,0.0,0.95,1980-02-12,36,Gansu,35.30554302345981,106.64606588632147
-8.34,-1.95,0.0,0.84,1980-02-13,36,Gansu,35.30554302345981,106.64606588632147
-13.15,-2.27,0.0,0.77,1980-02-14,36,Gansu,35.30554302345981,106.64606588632147
-11.53,-1.52,0.0,0.7,1980-02-15,36,Gansu,35.30554302345981,106.64606588632147
-8.06,-3.75,0.48,0.28,1980-02-16,36,Gansu,35.30554302345981,106.64606588632147
-6.54,-4.04,0.36,0.21,1980-02-17,36,Gansu,35.30554302345981,106.64606588632147
-10.13,3.18,0.0,0.98,1980-02-18,36,Gansu,35.30554302345981,106.64606588632147
-9.32,2.24,0.06,0.58,1980-02-19,36,Gansu,35.30554302345981,106.64606588632147
-5.36,5.82,0.0,1.12,1980-02-20,36,Gansu,35.30554302345981,106.64606588632147
-9.53,3.68,0.0,0.93,1980-02-21,36,Gansu,35.30554302345981,106.64606588632147
-6.76,3.91,0.0,0.96,1980-02-22,36,Gansu,35.30554302345981,106.64606588632147
-7.8,4.59,0.0,1.13,1980-02-23,36,Gansu,35.30554302345981,106.64606588632147
-2.82,-0.83,0.12,0.3,1980-02-24,36,Gansu,35.30554302345981,106.64606588632147
-3.68,3.09,0.0,1.09,1980-02-25,36,Gansu,35.30554302345981,106.64606588632147
-3.41,0.17,0.18,0.77,1980-02-26,36,Gansu,35.30554302345981,106.64606588632147
-8.92,4.89,0.0,1.15,1980-02-27,36,Gansu,35.30554302345981,106.64606588632147
-7.74,7.62,0.0,1.77,1980-02-28,36,Gansu,35.30554302345981,106.64606588632147
-1.82,3.97,0.0,1.35,1980-02-29,36,Gansu,35.30554302345981,106.64606588632147
-4.2,-2.14,0.18,0.7,1980-03-01,36,Gansu,35.30554302345981,106.64606588632147
-3.88,3.52,0.36,1.1,1980-03-02,36,Gansu,35.30554302345981,106.64606588632147
-2.46,0.47,0.66,0.61,1980-03-03,36,Gansu,35.30554302345981,106.64606588632147
-4.22,-3.2,0.0,0.47,1980-03-04,36,Gansu,35.30554302345981,106.64606588632147
-5.01,2.44,0.0,1.0,1980-03-05,36,Gansu,35.30554302345981,106.64606588632147
-6.11,1.87,0.0,1.11,1980-03-06,36,Gansu,35.30554302345981,106.64606588632147
-1.59,2.22,0.18,0.59,1980-03-07,36,Gansu,35.30554302345981,106.64606588632147
0.06,6.16,0.06,1.75,1980-03-08,36,Gansu,35.30554302345981,106.64606588632147
-5.59,8.26,0.0,1.57,1980-03-09,36,Gansu,35.30554302345981,106.64606588632147
-0.89,2.75,0.0,0.49,1980-03-10,36,Gansu,35.30554302345981,106.64606588632147
-4.46,-0.44,0.78,0.53,1980-03-11,36,Gansu,35.30554302345981,106.64606588632147
-6.28,-3.52,0.36,0.4,1980-03-12,36,Gansu,35.30554302345981,106.64606588632147
-3.94,-1.33,0.36,1.02,1980-03-13,36,Gansu,35.30554302345981,106.64606588632147
-7.27,-0.04,0.0,1.27,1980-03-14,36,Gansu,35.30554302345981,106.64606588632147
-3.55,7.69,0.0,1.66,1980-03-15,36,Gansu,35.30554302345981,106.64606588632147
-3.16,6.01,0.0,1.27,1980-03-16,36,Gansu,35.30554302345981,106.64606588632147
0.0,7.57,0.06,1.51,1980-03-17,36,Gansu,35.30554302345981,106.64606588632147
-3.5,12.04,0.06,2.16,1980-03-18,36,Gansu,35.30554302345981,106.64606588632147
0.17,3.82,0.78,1.41,1980-03-19,36,Gansu,35.30554302345981,106.64606588632147
