MinTemp,MaxTemp,Precipitation,ReferenceET,Date,City_ID,Province,Latitude,Longitude
-3.1,-0.88,0.3,0.36,1980-01-01,109,Henan,35.261222066371644,114.08787910375705
-3.91,2.94,0.0,0.07,1980-01-02,109,Henan,35.261222066371644,114.08787910375705
-0.27,3.79,0.0,1.07,1980-01-03,109,Henan,35.261222066371644,114.08787910375705
-3.75,3.12,0.0,0.36,1980-01-04,109,Henan,35.261222066371644,114.08787910375705
-4.49,5.51,0.0,0.76,1980-01-05,109,Henan,35.261222066371644,114.08787910375705
-0.3,6.89,0.0,1.29,1980-01-06,109,Henan,35.261222066371644,114.08787910375705
-3.98,7.5,0.0,0.65,1980-01-07,109,Henan,35.261222066371644,114.08787910375705
-4.63,4.74,0.0,0.13,1980-01-08,109,Henan,35.261222066371644,114.08787910375705
-4.59,3.88,0.0,1.21,1980-01-09,109,Henan,35.261222066371644,114.08787910375705
-5.11,0.47,0.0,0.57,1980-01-10,109,Henan,35.261222066371644,114.08787910375705
-7.6,1.74,0.0,0.44,1980-01-11,109,Henan,35.261222066371644,114.08787910375705
-4.04,4.52,0.0,0.09,1980-01-12,109,Henan,35.261222066371644,114.08787910375705
-6.76,7.14,0.0,0.29,1980-01-13,109,Henan,35.261222066371644,114.08787910375705
-2.78,8.3,0.0,1.03,1980-01-14,109,Henan,35.261222066371644,114.08787910375705
-5.22,10.12,0.0,1.26,1980-01-15,109,Henan,35.261222066371644,114.08787910375705
-5.16,9.31,0.0,1.12,1980-01-16,109,Henan,35.261222066371644,114.08787910375705
-3.85,1.99,0.0,0.82,1980-01-17,109,Henan,35.261222066371644,114.08787910375705
-4.87,-0.34,0.12,0.2,1980-01-18,109,Henan,35.261222066371644,114.08787910375705
-3.3,2.52,0.0,0.25,1980-01-19,109,Henan,35.261222066371644,114.08787910375705
-5.78,10.49,0.0,0.72,1980-01-20,109,Henan,35.261222066371644,114.08787910375705
-6.24,8.98,0.0,0.74,1980-01-21,109,Henan,35.261222066371644,114.08787910375705
-3.15,8.6,0.0,0.66,1980-01-22,109,Henan,35.261222066371644,114.08787910375705
-3.83,11.88,0.0,1.39,1980-01-23,109,Henan,35.261222066371644,114.08787910375705
-3.3,7.23,0.0,0.36,1980-01-24,109,Henan,35.261222066371644,114.08787910375705
-2.83,7.89,0.0,0.43,1980-01-25,109,Henan,35.261222066371644,114.08787910375705
-0.71,6.92,0.0,0.56,1980-01-26,109,Henan,35.261222066371644,114.08787910375705
0.66,3.44,3.06,0.97,1980-01-27,109,Henan,35.261222066371644,114.08787910375705
0.02,3.07,0.18,1.74,1980-01-28,109,Henan,35.261222066371644,114.08787910375705
-5.03,-0.22,0.06,1.4,1980-01-29,109,Henan,35.261222066371644,114.08787910375705
-11.35,-4.52,0.0,0.67,1980-01-30,109,Henan,35.261222066371644,114.08787910375705
-7.12,-0.46,0.0,1.0,1980-01-31,109,Henan,35.261222066371644,114.08787910375705
-7.15,2.12,0.0,1.01,1980-02-01,109,Henan,35.261222066371644,114.08787910375705
-4.01,2.92,0.0,1.08,1980-02-02,109,Henan,35.261222066371644,114.08787910375705
-5.2,0.94,0.0,0.92,1980-02-03,109,Henan,35.261222066371644,114.08787910375705
-4.92,-0.79,0.0,1.74,1980-02-04,109,Henan,35.261222066371644,114.08787910375705
-6.94,-0.21,0.0,1.15,1980-02-05,109,Henan,35.261222066371644,114.08787910375705
-8.9,-1.82,0.0,0.52,1980-02-06,109,Henan,35.261222066371644,114.08787910375705
-7.69,0.36,0.0,1.02,1980-02-07,109,Henan,35.261222066371644,114.08787910375705
-8.73,0.83,0.0,0.51,1980-02-08,109,Henan,35.261222066371644,114.08787910375705
-10.72,2.87,0.0,0.73,1980-02-09,109,Henan,35.261222066371644,114.08787910375705
-4.37,7.2,0.0,0.71,1980-02-10,109,Henan,35.261222066371644,114.08787910375705
-5.45,7.17,0.0,0.5,1980-02-11,109,Henan,35.261222066371644,114.08787910375705
-3.36,9.63,0.0,0.84,1980-02-12,109,Henan,35.261222066371644,114.08787910375705
-3.15,0.87,0.0,1.44,1980-02-13,109,Henan,35.261222066371644,114.08787910375705
-6.12,3.75,0.0,0.78,1980-02-14,109,Henan,35.261222066371644,114.08787910375705
-6.27,6.78,0.0,0.81,1980-02-15,109,Henan,35.261222066371644,114.08787910375705
