MinTemp,MaxTemp,Precipitation,ReferenceET,Date,City_ID,Province,Latitude,Longitude
-8.77,-7.42,1.08,0.03,1980-01-01,256,Shanxi,38.06351810738214,113.49714684783474
-8.15,-3.54,0.0,0.43,1980-01-02,256,Shanxi,38.06351810738214,113.49714684783474
-7.57,-2.36,0.0,0.77,1980-01-03,256,Shanxi,38.06351810738214,113.49714684783474
-11.88,-6.73,0.0,0.87,1980-01-04,256,Shanxi,38.06351810738214,113.49714684783474
-10.84,-1.36,0.0,1.3,1980-01-05,256,Shanxi,38.06351810738214,113.49714684783474
-9.76,-6.27,0.0,1.02,1980-01-06,256,Shanxi,38.06351810738214,113.49714684783474
-10.63,-1.44,0.0,0.93,1980-01-07,256,Shanxi,38.06351810738214,113.49714684783474
-10.59,-0.04,0.0,0.91,1980-01-08,256,Shanxi,38.06351810738214,113.49714684783474
-9.09,-2.78,0.0,0.53,1980-01-09,256,Shanxi,38.06351810738214,113.49714684783474
-13.98,-5.51,0.0,0.41,1980-01-10,256,Shanxi,38.06351810738214,113.49714684783474
-12.35,-2.12,0.0,0.97,1980-01-11,256,Shanxi,38.06351810738214,113.49714684783474
-6.4,-2.18,0.0,0.95,1980-01-12,256,Shanxi,38.06351810738214,113.49714684783474
-8.3,-1.79,0.0,0.87,1980-01-13,256,Shanxi,38.06351810738214,113.49714684783474
-8.44,-3.88,0.0,1.02,1980-01-14,256,Shanxi,38.06351810738214,113.49714684783474
-8.65,-0.38,0.0,1.46,1980-01-15,256,Shanxi,38.06351810738214,113.49714684783474
-6.72,1.22,0.0,0.99,1980-01-16,256,Shanxi,38.06351810738214,113.49714684783474
-10.52,-4.15,0.0,0.3,1980-01-17,256,Shanxi,38.06351810738214,113.49714684783474
-9.76,-4.59,0.0,0.23,1980-01-18,256,Shanxi,38.06351810738214,113.49714684783474
-10.6,-1.67,0.0,1.1,1980-01-19,256,Shanxi,38.06351810738214,113.49714684783474
-6.65,-0.47,0.0,1.57,1980-01-20,256,Shanxi,38.06351810738214,113.49714684783474
-6.63,1.8,0.0,0.76,1980-01-21,256,Shanxi,38.06351810738214,113.49714684783474
-10.6,3.49,0.0,1.04,1980-01-22,256,Shanxi,38.06351810738214,113.49714684783474
-6.09,2.79,0.0,0.76,1980-01-23,256,Shanxi,38.06351810738214,113.49714684783474
-9.92,0.68,0.0,0.49,1980-01-24,256,Shanxi,38.06351810738214,113.49714684783474
-9.23,0.7,0.0,0.48,1980-01-25,256,Shanxi,38.06351810738214,113.49714684783474
-5.5,3.97,0.0,1.08,1980-01-26,256,Shanxi,38.06351810738214,113.49714684783474
-3.82,0.46,0.54,0.32,1980-01-27,256,Shanxi,38.06351810738214,113.49714684783474
-7.81,-4.28,0.0,0.31,1980-01-28,256,Shanxi,38.06351810738214,113.49714684783474
-14.47,-7.37,0.0,1.0,1980-01-29,256,Shanxi,38.06351810738214,113.49714684783474
-17.84,-9.89,0.0,0.74,1980-01-30,256,Shanxi,38.06351810738214,113.49714684783474
-15.45,-9.95,0.0,0.77,1980-01-31,256,Shanxi,38.06351810738214,113.49714684783474
-15.04,-7.99,0.0,0.83,1980-02-01,256,Shanxi,38.06351810738214,113.49714684783474
-13.98,-7.01,0.0,0.91,1980-02-02,256,Shanxi,38.06351810738214,113.49714684783474
-15.32,-9.59,0.0,1.1,1980-02-03,256,Shanxi,38.06351810738214,113.49714684783474
-18.05,-12.52,0.0,1.13,1980-02-04,256,Shanxi,38.06351810738214,113.49714684783474
-17.37,-11.58,0.0,1.18,1980-02-05,256,Shanxi,38.06351810738214,113.49714684783474
-15.32,-7.78,0.0,1.03,1980-02-06,256,Shanxi,38.06351810738214,113.49714684783474
-15.92,-6.61,0.0,0.61,1980-02-07,256,Shanxi,38.06351810738214,113.49714684783474
-15.33,-7.6,0.0,1.06,1980-02-08,256,Shanxi,38.06351810738214,113.49714684783474
-12.35,-2.04,0.0,1.21,1980-02-09,256,Shanxi,38.06351810738214,113.49714684783474
-10.6,-0.6,0.0,1.53,1980-02-10,256,Shanxi,38.06351810738214,113.49714684783474
-10.22,-0.03,0.0,1.14,1980-02-11,256,Shanxi,38.06351810738214,113.49714684783474
-8.82,0.85,0.0,0.92,1980-02-12,256,Shanxi,38.06351810738214,113.49714684783474
-10.21,-5.27,0.0,0.74,1980-02-13,256,Shanxi,38.06351810738214,113.49714684783474
-12.69,-2.5,0.0,1.13,1980-02-14,256,Shanxi,38.06351810738214,113.49714684783474
-11.16,1.38,0.0,1.02,1980-02-15,256,Shanxi,38.06351810738214,113.49714684783474
-9.07,1.94,0.0,0.67,1980-02-16,256,Shanxi,38.06351810738214,113.49714684783474
-6.2,-2.31,0.18,0.39,1980-02-17,256,Shanxi,38.06351810738214,113.49714684783474
