MinTemp,MaxTemp,Precipitation,ReferenceET,Date,City_ID,Province,Latitude,Longitude
-6.37,-4.42,2.04,0.02,1980-01-01,258,Shanxi,36.47500379975781,112.91566711223066
-7.59,-1.91,0.0,0.0,1980-01-02,258,Shanxi,36.47500379975781,112.91566711223066
-7.01,-1.07,0.0,0.04,1980-01-03,258,Shanxi,36.47500379975781,112.91566711223066
-11.34,-3.54,0.0,0.18,1980-01-04,258,Shanxi,36.47500379975781,112.91566711223066
-15.79,-1.49,0.0,0.1,1980-01-05,258,Shanxi,36.47500379975781,112.91566711223066
-9.02,-4.52,0.0,0.69,1980-01-06,258,Shanxi,36.47500379975781,112.91566711223066
-12.4,0.48,0.0,0.33,1980-01-07,258,Shanxi,36.47500379975781,112.91566711223066
-13.07,0.78,0.0,0.37,1980-01-08,258,Shanxi,36.47500379975781,112.91566711223066
-12.69,0.95,0.0,0.18,1980-01-09,258,Shanxi,36.47500379975781,112.91566711223066
-13.08,-3.46,0.0,0.21,1980-01-10,258,Shanxi,36.47500379975781,112.91566711223066
-15.96,-2.26,0.0,0.41,1980-01-11,258,Shanxi,36.47500379975781,112.91566711223066
-9.47,-0.17,0.0,0.4,1980-01-12,258,Shanxi,36.47500379975781,112.91566711223066
-11.8,0.25,0.0,0.44,1980-01-13,258,Shanxi,36.47500379975781,112.91566711223066
-12.22,-1.12,0.0,0.44,1980-01-14,258,Shanxi,36.47500379975781,112.91566711223066
-11.97,1.78,0.0,0.53,1980-01-15,258,Shanxi,36.47500379975781,112.91566711223066
-13.45,2.42,0.0,0.19,1980-01-16,258,Shanxi,36.47500379975781,112.91566711223066
-13.34,0.84,0.0,0.23,1980-01-17,258,Shanxi,36.47500379975781,112.91566711223066
-6.23,-0.93,0.24,0.34,1980-01-18,258,Shanxi,36.47500379975781,112.91566711223066
-12.35,0.83,0.0,0.51,1980-01-19,258,Shanxi,36.47500379975781,112.91566711223066
-12.02,2.71,0.0,0.62,1980-01-20,258,Shanxi,36.47500379975781,112.91566711223066
-12.18,3.42,0.0,0.22,1980-01-21,258,Shanxi,36.47500379975781,112.91566711223066
