MinTemp,MaxTemp,Precipitation,ReferenceET,Date,City_ID,Province,Latitude,Longitude
-6.89,-5.64,0.18,0.07,1980-01-01,37,Gansu,36.16185941114908,107.59050207450355
-9.66,-3.97,0.54,0.19,1980-01-02,37,Gansu,36.16185941114908,107.59050207450355
-9.02,-4.19,0.0,0.2,1980-01-03,37,Gansu,36.16185941114908,107.59050207450355
-12.64,-4.54,0.0,0.32,1980-01-04,37,Gansu,36.16185941114908,107.59050207450355
-12.4,-5.55,0.0,0.43,1980-01-05,37,Gansu,36.16185941114908,107.59050207450355
-9.76,-5.19,0.0,0.5,1980-01-06,37,Gansu,36.16185941114908,107.59050207450355
-14.52,-3.66,0.0,0.29,1980-01-07,37,Gansu,36.16185941114908,107.59050207450355
-11.75,0.89,0.0,0.59,1980-01-08,37,Gansu,36.16185941114908,107.59050207450355
-10.86,2.68,0.0,0.79,1980-01-09,37,Gansu,36.16185941114908,107.59050207450355
-10.15,-4.46,0.0,0.29,1980-01-10,37,Gansu,36.16185941114908,107.59050207450355
-11.58,-5.86,0.0,0.36,1980-01-11,37,Gansu,36.16185941114908,107.59050207450355
-13.1,-0.65,0.0,0.5,1980-01-12,37,Gansu,36.16185941114908,107.59050207450355
-11.14,-0.96,0.0,0.51,1980-01-13,37,Gansu,36.16185941114908,107.59050207450355
-11.96,0.21,0.0,0.71,1980-01-14,37,Gansu,36.16185941114908,107.59050207450355
-10.99,1.41,0.0,0.59,1980-01-15,37,Gansu,36.16185941114908,107.59050207450355
-8.84,1.38,0.0,0.63,1980-01-16,37,Gansu,36.16185941114908,107.59050207450355
-10.72,1.3,0.06,0.92,1980-01-17,37,Gansu,36.16185941114908,107.59050207450355
-8.17,-0.3,0.0,0.59,1980-01-18,37,Gansu,36.16185941114908,107.59050207450355
-10.45,0.99,0.0,0.5,1980-01-19,37,Gansu,36.16185941114908,107.59050207450355
-10.06,1.75,0.0,0.64,1980-01-20,37,Gansu,36.16185941114908,107.59050207450355
-9.26,1.86,0.0,0.63,1980-01-21,37,Gansu,36.16185941114908,107.59050207450355
-9.6,1.74,0.0,0.58,1980-01-22,37,Gansu,36.16185941114908,107.59050207450355
-7.97,3.69,0.0,0.79,1980-01-23,37,Gansu,36.16185941114908,107.59050207450355
-9.0,2.42,0.0,0.57,1980-01-24,37,Gansu,36.16185941114908,107.59050207450355
-8.97,5.37,0.0,0.66,1980-01-25,37,Gansu,36.16185941114908,107.59050207450355
-8.09,2.16,0.06,0.78,1980-01-26,37,Gansu,36.16185941114908,107.59050207450355
-4.11,0.56,0.0,0.84,1980-01-27,37,Gansu,36.16185941114908,107.59050207450355
-10.05,-0.95,0.72,0.47,1980-01-28,37,Gansu,36.16185941114908,107.59050207450355
-15.49,-7.49,0.0,0.72,1980-01-29,37,Gansu,36.16185941114908,107.59050207450355
-19.12,-12.92,0.0,0.54,1980-01-30,37,Gansu,36.16185941114908,107.59050207450355
-14.59,-11.43,0.0,0.63,1980-01-31,37,Gansu,36.16185941114908,107.59050207450355
-14.98,-8.11,0.0,0.41,1980-02-01,37,Gansu,36.16185941114908,107.59050207450355
-15.64,-4.94,0.0,0.56,1980-02-02,37,Gansu,36.16185941114908,107.59050207450355
-15.14,-7.38,0.0,0.74,1980-02-03,37,Gansu,36.16185941114908,107.59050207450355
-18.47,-11.66,0.0,0.53,1980-02-04,37,Gansu,36.16185941114908,107.59050207450355
-17.94,-7.33,0.0,0.55,1980-02-05,37,Gansu,36.16185941114908,107.59050207450355
-11.74,-4.87,0.0,0.53,1980-02-06,37,Gansu,36.16185941114908,107.59050207450355
-15.07,-4.52,0.0,0.66,1980-02-07,37,Gansu,36.16185941114908,107.59050207450355
-13.68,-5.49,0.0,0.66,1980-02-08,37,Gansu,36.16185941114908,107.59050207450355
-13.02,-3.83,0.0,0.78,1980-02-09,37,Gansu,36.16185941114908,107.59050207450355
