MinTemp,MaxTemp,Precipitation,ReferenceET,Date,City_ID,Province,Latitude,Longitude
-10.91,-6.01,0.0,0.35,1980-01-01,207,Neimeng,41.445105204511364,107.56983875780392
-14.96,-9.18,0.0,0.24,1980-01-02,207,Neimeng,41.445105204511364,107.56983875780392
-20.37,-11.95,0.0,0.04,1980-01-03,207,Neimeng,41.445105204511364,107.56983875780392
-22.37,-10.93,0.0,0.47,1980-01-04,207,Neimeng,41.445105204511364,107.56983875780392
-18.68,-9.31,0.0,0.5,1980-01-05,207,Neimeng,41.445105204511364,107.56983875780392
-21.13,-11.61,0.0,0.46,1980-01-06,207,Neimeng,41.445105204511364,107.56983875780392
-16.95,-6.85,0.0,0.4,1980-01-07,207,Neimeng,41.445105204511364,107.56983875780392
-16.63,-6.72,0.0,0.48,1980-01-08,207,Neimeng,41.445105204511364,107.56983875780392
-18.87,-11.57,0.0,0.36,1980-01-09,207,Neimeng,41.445105204511364,107.56983875780392
-24.61,-14.62,0.0,0.11,1980-01-10,207,Neimeng,41.445105204511364,107.56983875780392
-22.18,-11.91,0.0,0.32,1980-01-11,207,Neimeng,41.445105204511364,107.56983875780392
-18.72,-8.71,0.0,0.19,1980-01-12,207,Neimeng,41.445105204511364,107.56983875780392
-18.37,-7.83,0.0,0.22,1980-01-13,207,Neimeng,41.445105204511364,107.56983875780392
-19.53,-8.64,0.0,0.35,1980-01-14,207,Neimeng,41.445105204511364,107.56983875780392
-18.02,-6.86,0.0,0.28,1980-01-15,207,Neimeng,41.445105204511364,107.56983875780392
-18.52,-6.27,0.0,0.21,1980-01-16,207,Neimeng,41.445105204511364,107.56983875780392
-14.49,-6.24,0.0,0.29,1980-01-17,207,Neimeng,41.445105204511364,107.56983875780392
-17.51,-8.47,0.0,0.27,1980-01-18,207,Neimeng,41.445105204511364,107.56983875780392
-18.98,-7.06,0.0,0.34,1980-01-19,207,Neimeng,41.445105204511364,107.56983875780392
-16.75,-4.47,0.0,0.52,1980-01-20,207,Neimeng,41.445105204511364,107.56983875780392
-16.71,-5.44,0.0,0.15,1980-01-21,207,Neimeng,41.445105204511364,107.56983875780392
-17.21,-4.65,0.0,0.19,1980-01-22,207,Neimeng,41.445105204511364,107.56983875780392
-14.22,-2.94,0.0,0.21,1980-01-23,207,Neimeng,41.445105204511364,107.56983875780392
-14.19,-3.16,0.0,0.54,1980-01-24,207,Neimeng,41.445105204511364,107.56983875780392
-12.35,-5.7,0.0,0.85,1980-01-25,207,Neimeng,41.445105204511364,107.56983875780392
-16.3,-5.58,0.0,0.65,1980-01-26,207,Neimeng,41.445105204511364,107.56983875780392
-13.98,-7.15,0.0,0.57,1980-01-27,207,Neimeng,41.445105204511364,107.56983875780392
-24.77,-13.63,0.0,0.49,1980-01-28,207,Neimeng,41.445105204511364,107.56983875780392
-30.63,-23.82,0.0,0.26,1980-01-29,207,Neimeng,41.445105204511364,107.56983875780392
-26.12,-17.92,0.0,0.29,1980-01-30,207,Neimeng,41.445105204511364,107.56983875780392
-24.99,-14.27,0.0,0.4,1980-01-31,207,Neimeng,41.445105204511364,107.56983875780392
-23.01,-13.2,0.0,0.4,1980-02-01,207,Neimeng,41.445105204511364,107.56983875780392
-23.08,-16.44,0.0,0.35,1980-02-02,207,Neimeng,41.445105204511364,107.56983875780392
-25.85,-19.84,0.0,0.42,1980-02-03,207,Neimeng,41.445105204511364,107.56983875780392
-23.49,-14.57,0.0,0.44,1980-02-04,207,Neimeng,41.445105204511364,107.56983875780392
-27.92,-18.09,0.0,0.25,1980-02-05,207,Neimeng,41.445105204511364,107.56983875780392
-25.06,-16.45,0.0,0.28,1980-02-06,207,Neimeng,41.445105204511364,107.56983875780392
-23.93,-14.26,0.0,0.22,1980-02-07,207,Neimeng,41.445105204511364,107.56983875780392
-24.68,-10.81,0.0,0.27,1980-02-08,207,Neimeng,41.445105204511364,107.56983875780392
-19.19,-8.65,0.0,0.51,1980-02-09,207,Neimeng,41.445105204511364,107.56983875780392
-18.45,-7.2,0.0,0.59,1980-02-10,207,Neimeng,41.445105204511364,107.56983875780392
-19.84,-6.7,0.0,0.54,1980-02-11,207,Neimeng,41.445105204511364,107.56983875780392
-16.81,-8.99,0.0,0.64,1980-02-12,207,Neimeng,41.445105204511364,107.56983875780392
-23.0,-10.24,0.0,0.33,1980-02-13,207,Neimeng,41.445105204511364,107.56983875780392
-20.95,-6.6,0.0,0.46,1980-02-14,207,Neimeng,41.445105204511364,107.56983875780392
-19.29,-2.83,0.0,0.64,1980-02-15,207,Neimeng,41.445105204511364,107.56983875780392
-17.45,-2.06,0.0,0.82,1980-02-16,207,Neimeng,41.445105204511364,107.56983875780392
-7.41,-1.38,0.0,0.59,1980-02-17,207,Neimeng,41.445105204511364,107.56983875780392
-13.47,0.52,0.0,0.63,1980-02-18,207,Neimeng,41.445105204511364,107.56983875780392
-9.86,0.49,0.0,1.07,1980-02-19,207,Neimeng,41.445105204511364,107.56983875780392
-13.01,-0.41,0.0,0.87,1980-02-20,207,Neimeng,41.445105204511364,107.56983875780392
-9.25,3.02,0.0,0.7,1980-02-21,207,Neimeng,41.445105204511364,107.56983875780392
-8.85,3.65,0.0,0.72,1980-02-22,207,Neimeng,41.445105204511364,107.56983875780392
-8.65,5.85,0.0,1.3,1980-02-23,207,Neimeng,41.445105204511364,107.56983875780392
-3.45,4.02,1.14,0.93,1980-02-24,207,Neimeng,41.445105204511364,107.56983875780392
-7.17,1.62,0.0,1.1,1980-02-25,207,Neimeng,41.445105204511364,107.56983875780392
-10.56,-1.61,0.0,0.92,1980-02-26,207,Neimeng,41.445105204511364,107.56983875780392
-13.12,1.01,0.0,0.87,1980-02-27,207,Neimeng,41.445105204511364,107.56983875780392
-6.56,0.55,0.0,1.11,1980-02-28,207,Neimeng,41.445105204511364,107.56983875780392
-10.78,-2.59,0.0,0.89,1980-02-29,207,Neimeng,41.445105204511364,107.56983875780392
-14.64,-2.07,0.0,0.8,1980-03-01,207,Neimeng,41.445105204511364,107.56983875780392
-12.49,2.72,0.0,1.26,1980-03-02,207,Neimeng,41.445105204511364,107.56983875780392
-10.59,1.74,0.0,1.26,1980-03-03,207,Neimeng,41.445105204511364,107.56983875780392
-8.54,4.22,0.0,1.19,1980-03-04,207,Neimeng,41.445105204511364,107.56983875780392
-6.05,5.86,0.0,1.49,1980-03-05,207,Neimeng,41.445105204511364,107.56983875780392
-4.03,7.6,0.0,1.17,1980-03-06,207,Neimeng,41.445105204511364,107.56983875780392
-6.82,8.68,0.12,1.77,1980-03-07,207,Neimeng,41.445105204511364,107.56983875780392
-2.46,4.38,0.12,1.67,1980-03-08,207,Neimeng,41.445105204511364,107.56983875780392
-8.07,2.65,0.0,1.87,1980-03-09,207,Neimeng,41.445105204511364,107.56983875780392
-8.56,-5.0,0.84,0.81,1980-03-10,207,Neimeng,41.445105204511364,107.56983875780392
-7.59,-3.56,0.06,0.4,1980-03-11,207,Neimeng,41.445105204511364,107.56983875780392
-5.58,-1.41,0.3,0.45,1980-03-12,207,Neimeng,41.445105204511364,107.56983875780392
-15.06,-8.65,0.0,0.89,1980-03-13,207,Neimeng,41.445105204511364,107.56983875780392
-13.92,-3.23,0.0,0.92,1980-03-14,207,Neimeng,41.445105204511364,107.56983875780392
-9.83,2.18,0.0,1.57,1980-03-15,207,Neimeng,41.445105204511364,107.56983875780392
-7.69,4.07,0.0,1.84,1980-03-16,207,Neimeng,41.445105204511364,107.56983875780392
-7.79,3.42,0.0,1.5,1980-03-17,207,Neimeng,41.445105204511364,107.56983875780392
-5.46,6.17,0.0,1.75,1980-03-18,207,Neimeng,41.445105204511364,107.56983875780392
-9.92,-2.77,0.0,1.37,1980-03-19,207,Neimeng,41.445105204511364,107.56983875780392
-9.5,0.46,0.0,1.74,1980-03-20,207,Neimeng,41.445105204511364,107.56983875780392
-4.86,1.48,0.0,0.99,1980-03-21,207,Neimeng,41.445105204511364,107.56983875780392
-10.14,-3.8,0.0,1.45,1980-03-22,207,Neimeng,41.445105204511364,107.56983875780392
-10.17,-1.89,0.0,1.43,1980-03-23,207,Neimeng,41.445105204511364,107.56983875780392
-8.97,0.69,0.0,1.86,1980-03-24,207,Neimeng,41.445105204511364,107.56983875780392
-7.43,1.55,0.0,1.66,1980-03-25,207,Neimeng,41.445105204511364,107.56983875780392
-6.11,5.94,0.0,2.0,1980-03-26,207,Neimeng,41.445105204511364,107.56983875780392
-3.25,10.89,0.0,2.63,1980-03-27,207,Neimeng,41.445105204511364,107.56983875780392
0.64,8.32,0.0,1.76,1980-03-28,207,Neimeng,41.445105204511364,107.56983875780392
-0.45,4.81,0.0,2.49,1980-03-29,207,Neimeng,41.445105204511364,107.56983875780392
-4.0,0.3,0.0,2.38,1980-03-30,207,Neimeng,41.445105204511364,107.56983875780392
-9.31,0.93,0.0,2.13,1980-03-31,207,Neimeng,41.445105204511364,107.56983875780392
